class,type
1476,Community Mental Health Centers
1477,Community Mental Health Centers
1478,Community Mental Health Centers
1479,Community Mental Health Centers
1480,Community Mental Health Centers
1481,Community Mental Health Centers
1482,Community Mental Health Centers
1483,Community Mental Health Centers
1484,Community Mental Health Centers
1485,Community Mental Health Centers
1486,Community Mental Health Centers
1487,Community Mental Health Centers
1488,Community Mental Health Centers
1489,Community Mental Health Centers
1490,Community Mental Health Centers
1491,Community Mental Health Centers
1492,Community Mental Health Centers
1493,Community Mental Health Centers
1494,Community Mental Health Centers
1495,Community Mental Health Centers
1496,Community Mental Health Centers
1497,Community Mental Health Centers
1498,Community Mental Health Centers
1499,Community Mental Health Centers
4600,Community Mental Health Centers
4601,Community Mental Health Centers
4602,Community Mental Health Centers
4603,Community Mental Health Centers
4604,Community Mental Health Centers
4605,Community Mental Health Centers
4606,Community Mental Health Centers
4607,Community Mental Health Centers
4608,Community Mental Health Centers
4609,Community Mental Health Centers
4610,Community Mental Health Centers
4611,Community Mental Health Centers
4612,Community Mental Health Centers
4613,Community Mental Health Centers
4614,Community Mental Health Centers
4615,Community Mental Health Centers
4616,Community Mental Health Centers
4617,Community Mental Health Centers
4618,Community Mental Health Centers
4619,Community Mental Health Centers
4620,Community Mental Health Centers
4621,Community Mental Health Centers
4622,Community Mental Health Centers
4623,Community Mental Health Centers
4624,Community Mental Health Centers
4625,Community Mental Health Centers
4626,Community Mental Health Centers
4627,Community Mental Health Centers
4628,Community Mental Health Centers
4629,Community Mental Health Centers
4630,Community Mental Health Centers
4631,Community Mental Health Centers
4632,Community Mental Health Centers
4633,Community Mental Health Centers
4634,Community Mental Health Centers
4635,Community Mental Health Centers
4636,Community Mental Health Centers
4637,Community Mental Health Centers
4638,Community Mental Health Centers
4639,Community Mental Health Centers
4640,Community Mental Health Centers
4641,Community Mental Health Centers
4642,Community Mental Health Centers
4643,Community Mental Health Centers
4644,Community Mental Health Centers
4645,Community Mental Health Centers
4646,Community Mental Health Centers
4647,Community Mental Health Centers
4648,Community Mental Health Centers
4649,Community Mental Health Centers
4650,Community Mental Health Centers
4651,Community Mental Health Centers
4652,Community Mental Health Centers
4653,Community Mental Health Centers
4654,Community Mental Health Centers
4655,Community Mental Health Centers
4656,Community Mental Health Centers
4657,Community Mental Health Centers
4658,Community Mental Health Centers
4659,Community Mental Health Centers
4660,Community Mental Health Centers
4661,Community Mental Health Centers
4662,Community Mental Health Centers
4663,Community Mental Health Centers
4664,Community Mental Health Centers
4665,Community Mental Health Centers
4666,Community Mental Health Centers
4667,Community Mental Health Centers
4668,Community Mental Health Centers
4669,Community Mental Health Centers
4670,Community Mental Health Centers
4671,Community Mental Health Centers
4672,Community Mental Health Centers
4673,Community Mental Health Centers
4674,Community Mental Health Centers
4675,Community Mental Health Centers
4676,Community Mental Health Centers
4677,Community Mental Health Centers
4678,Community Mental Health Centers
4679,Community Mental Health Centers
4680,Community Mental Health Centers
4681,Community Mental Health Centers
4682,Community Mental Health Centers
4683,Community Mental Health Centers
4684,Community Mental Health Centers
4685,Community Mental Health Centers
4686,Community Mental Health Centers
4687,Community Mental Health Centers
4688,Community Mental Health Centers
4689,Community Mental Health Centers
4690,Community Mental Health Centers
4691,Community Mental Health Centers
4692,Community Mental Health Centers
4693,Community Mental Health Centers
4694,Community Mental Health Centers
4695,Community Mental Health Centers
4696,Community Mental Health Centers
4697,Community Mental Health Centers
4698,Community Mental Health Centers
4699,Community Mental Health Centers
4700,Community Mental Health Centers
4701,Community Mental Health Centers
4702,Community Mental Health Centers
4703,Community Mental Health Centers
4704,Community Mental Health Centers
4705,Community Mental Health Centers
4706,Community Mental Health Centers
4707,Community Mental Health Centers
4708,Community Mental Health Centers
4709,Community Mental Health Centers
4710,Community Mental Health Centers
4711,Community Mental Health Centers
4712,Community Mental Health Centers
4713,Community Mental Health Centers
4714,Community Mental Health Centers
4715,Community Mental Health Centers
4716,Community Mental Health Centers
4717,Community Mental Health Centers
4718,Community Mental Health Centers
4719,Community Mental Health Centers
4720,Community Mental Health Centers
4721,Community Mental Health Centers
4722,Community Mental Health Centers
4723,Community Mental Health Centers
4724,Community Mental Health Centers
4725,Community Mental Health Centers
4726,Community Mental Health Centers
4727,Community Mental Health Centers
4728,Community Mental Health Centers
4729,Community Mental Health Centers
4730,Community Mental Health Centers
4731,Community Mental Health Centers
4732,Community Mental Health Centers
4733,Community Mental Health Centers
4734,Community Mental Health Centers
4735,Community Mental Health Centers
4736,Community Mental Health Centers
4737,Community Mental Health Centers
4738,Community Mental Health Centers
4739,Community Mental Health Centers
4740,Community Mental Health Centers
4741,Community Mental Health Centers
4742,Community Mental Health Centers
4743,Community Mental Health Centers
4744,Community Mental Health Centers
4745,Community Mental Health Centers
4746,Community Mental Health Centers
4747,Community Mental Health Centers
4748,Community Mental Health Centers
4749,Community Mental Health Centers
4750,Community Mental Health Centers
4751,Community Mental Health Centers
4752,Community Mental Health Centers
4753,Community Mental Health Centers
4754,Community Mental Health Centers
4755,Community Mental Health Centers
4756,Community Mental Health Centers
4757,Community Mental Health Centers
4758,Community Mental Health Centers
4759,Community Mental Health Centers
4760,Community Mental Health Centers
4761,Community Mental Health Centers
4762,Community Mental Health Centers
4763,Community Mental Health Centers
4764,Community Mental Health Centers
4765,Community Mental Health Centers
4766,Community Mental Health Centers
4767,Community Mental Health Centers
4768,Community Mental Health Centers
4769,Community Mental Health Centers
4770,Community Mental Health Centers
4771,Community Mental Health Centers
4772,Community Mental Health Centers
4773,Community Mental Health Centers
4774,Community Mental Health Centers
4775,Community Mental Health Centers
4776,Community Mental Health Centers
4777,Community Mental Health Centers
4778,Community Mental Health Centers
4779,Community Mental Health Centers
4780,Community Mental Health Centers
4781,Community Mental Health Centers
4782,Community Mental Health Centers
4783,Community Mental Health Centers
4784,Community Mental Health Centers
4785,Community Mental Health Centers
4786,Community Mental Health Centers
4787,Community Mental Health Centers
4788,Community Mental Health Centers
4789,Community Mental Health Centers
4790,Community Mental Health Centers
4791,Community Mental Health Centers
4792,Community Mental Health Centers
4793,Community Mental Health Centers
4794,Community Mental Health Centers
4795,Community Mental Health Centers
4796,Community Mental Health Centers
4797,Community Mental Health Centers
4798,Community Mental Health Centers
4799,Community Mental Health Centers
4900,Community Mental Health Centers
4901,Community Mental Health Centers
4902,Community Mental Health Centers
4903,Community Mental Health Centers
4904,Community Mental Health Centers
4905,Community Mental Health Centers
4906,Community Mental Health Centers
4907,Community Mental Health Centers
4908,Community Mental Health Centers
4909,Community Mental Health Centers
4910,Community Mental Health Centers
4911,Community Mental Health Centers
4912,Community Mental Health Centers
4913,Community Mental Health Centers
4914,Community Mental Health Centers
4915,Community Mental Health Centers
4916,Community Mental Health Centers
4917,Community Mental Health Centers
4918,Community Mental Health Centers
4919,Community Mental Health Centers
4920,Community Mental Health Centers
4921,Community Mental Health Centers
4922,Community Mental Health Centers
4923,Community Mental Health Centers
4924,Community Mental Health Centers
4925,Community Mental Health Centers
4926,Community Mental Health Centers
4927,Community Mental Health Centers
4928,Community Mental Health Centers
4929,Community Mental Health Centers
4930,Community Mental Health Centers
4931,Community Mental Health Centers
4932,Community Mental Health Centers
4933,Community Mental Health Centers
4934,Community Mental Health Centers
4935,Community Mental Health Centers
4936,Community Mental Health Centers
4937,Community Mental Health Centers
4938,Community Mental Health Centers
4939,Community Mental Health Centers
4940,Community Mental Health Centers
4941,Community Mental Health Centers
4942,Community Mental Health Centers
4943,Community Mental Health Centers
4944,Community Mental Health Centers
4945,Community Mental Health Centers
4946,Community Mental Health Centers
4947,Community Mental Health Centers
4948,Community Mental Health Centers
4949,Community Mental Health Centers
4950,Community Mental Health Centers
4951,Community Mental Health Centers
4952,Community Mental Health Centers
4953,Community Mental Health Centers
4954,Community Mental Health Centers
4955,Community Mental Health Centers
4956,Community Mental Health Centers
4957,Community Mental Health Centers
4958,Community Mental Health Centers
4959,Community Mental Health Centers
4960,Community Mental Health Centers
4961,Community Mental Health Centers
4962,Community Mental Health Centers
4963,Community Mental Health Centers
4964,Community Mental Health Centers
4965,Community Mental Health Centers
4966,Community Mental Health Centers
4967,Community Mental Health Centers
4968,Community Mental Health Centers
4969,Community Mental Health Centers
4970,Community Mental Health Centers
4971,Community Mental Health Centers
4972,Community Mental Health Centers
4973,Community Mental Health Centers
4974,Community Mental Health Centers
4975,Community Mental Health Centers
4976,Community Mental Health Centers
4977,Community Mental Health Centers
4978,Community Mental Health Centers
4979,Community Mental Health Centers
4980,Community Mental Health Centers
4981,Community Mental Health Centers
4982,Community Mental Health Centers
4983,Community Mental Health Centers
4984,Community Mental Health Centers
4985,Community Mental Health Centers
4986,Community Mental Health Centers
4987,Community Mental Health Centers
4988,Community Mental Health Centers
4989,Community Mental Health Centers
4990,Community Mental Health Centers
4991,Community Mental Health Centers
4992,Community Mental Health Centers
4993,Community Mental Health Centers
4994,Community Mental Health Centers
4995,Community Mental Health Centers
4996,Community Mental Health Centers
4997,Community Mental Health Centers
4998,Community Mental Health Centers
4999,Community Mental Health Centers
1500,Hospices
1501,Hospices
1502,Hospices
1503,Hospices
1504,Hospices
1505,Hospices
1506,Hospices
1507,Hospices
1508,Hospices
1509,Hospices
1510,Hospices
1511,Hospices
1512,Hospices
1513,Hospices
1514,Hospices
1515,Hospices
1516,Hospices
1517,Hospices
1518,Hospices
1519,Hospices
1520,Hospices
1521,Hospices
1522,Hospices
1523,Hospices
1524,Hospices
1525,Hospices
1526,Hospices
1527,Hospices
1528,Hospices
1529,Hospices
1530,Hospices
1531,Hospices
1532,Hospices
1533,Hospices
1534,Hospices
1535,Hospices
1536,Hospices
1537,Hospices
1538,Hospices
1539,Hospices
1540,Hospices
1541,Hospices
1542,Hospices
1543,Hospices
1544,Hospices
1545,Hospices
1546,Hospices
1547,Hospices
1548,Hospices
1549,Hospices
1550,Hospices
1551,Hospices
1552,Hospices
1553,Hospices
1554,Hospices
1555,Hospices
1556,Hospices
1557,Hospices
1558,Hospices
1559,Hospices
1560,Hospices
1561,Hospices
1562,Hospices
1563,Hospices
1564,Hospices
1565,Hospices
1566,Hospices
1567,Hospices
1568,Hospices
1569,Hospices
1570,Hospices
1571,Hospices
1572,Hospices
1573,Hospices
1574,Hospices
1575,Hospices
1576,Hospices
1577,Hospices
1578,Hospices
1579,Hospices
1580,Hospices
1581,Hospices
1582,Hospices
1583,Hospices
1584,Hospices
1585,Hospices
1586,Hospices
1587,Hospices
1588,Hospices
1589,Hospices
1590,Hospices
1591,Hospices
1592,Hospices
1593,Hospices
1594,Hospices
1595,Hospices
1596,Hospices
1597,Hospices
1598,Hospices
1599,Hospices
1600,Hospices
1601,Hospices
1602,Hospices
1603,Hospices
1604,Hospices
1605,Hospices
1606,Hospices
1607,Hospices
1608,Hospices
1609,Hospices
1610,Hospices
1611,Hospices
1612,Hospices
1613,Hospices
1614,Hospices
1615,Hospices
1616,Hospices
1617,Hospices
1618,Hospices
1619,Hospices
1620,Hospices
1621,Hospices
1622,Hospices
1623,Hospices
1624,Hospices
1625,Hospices
1626,Hospices
1627,Hospices
1628,Hospices
1629,Hospices
1630,Hospices
1631,Hospices
1632,Hospices
1633,Hospices
1634,Hospices
1635,Hospices
1636,Hospices
1637,Hospices
1638,Hospices
1639,Hospices
1640,Hospices
1641,Hospices
1642,Hospices
1643,Hospices
1644,Hospices
1645,Hospices
1646,Hospices
1647,Hospices
1648,Hospices
1649,Hospices
1650,Hospices
1651,Hospices
1652,Hospices
1653,Hospices
1654,Hospices
1655,Hospices
1656,Hospices
1657,Hospices
1658,Hospices
1659,Hospices
1660,Hospices
1661,Hospices
1662,Hospices
1663,Hospices
1664,Hospices
1665,Hospices
1666,Hospices
1667,Hospices
1668,Hospices
1669,Hospices
1670,Hospices
1671,Hospices
1672,Hospices
1673,Hospices
1674,Hospices
1675,Hospices
1676,Hospices
1677,Hospices
1678,Hospices
1679,Hospices
1680,Hospices
1681,Hospices
1682,Hospices
1683,Hospices
1684,Hospices
1685,Hospices
1686,Hospices
1687,Hospices
1688,Hospices
1689,Hospices
1690,Hospices
1691,Hospices
1692,Hospices
1693,Hospices
1694,Hospices
1695,Hospices
1696,Hospices
1697,Hospices
1698,Hospices
1699,Hospices
1700,Hospices
1701,Hospices
1702,Hospices
1703,Hospices
1704,Hospices
1705,Hospices
1706,Hospices
1707,Hospices
1708,Hospices
1709,Hospices
1710,Hospices
1711,Hospices
1712,Hospices
1713,Hospices
1714,Hospices
1715,Hospices
1716,Hospices
1717,Hospices
1718,Hospices
1719,Hospices
1720,Hospices
1721,Hospices
1722,Hospices
1723,Hospices
1724,Hospices
1725,Hospices
1726,Hospices
1727,Hospices
1728,Hospices
1729,Hospices
1730,Hospices
1731,Hospices
1732,Hospices
1733,Hospices
1734,Hospices
1735,Hospices
1736,Hospices
1737,Hospices
1738,Hospices
1739,Hospices
1740,Hospices
1741,Hospices
1742,Hospices
1743,Hospices
1744,Hospices
1745,Hospices
1746,Hospices
1747,Hospices
1748,Hospices
1749,Hospices
1750,Hospices
1751,Hospices
1752,Hospices
1753,Hospices
1754,Hospices
1755,Hospices
1756,Hospices
1757,Hospices
1758,Hospices
1759,Hospices
1760,Hospices
1761,Hospices
1762,Hospices
1763,Hospices
1764,Hospices
1765,Hospices
1766,Hospices
1767,Hospices
1768,Hospices
1769,Hospices
1770,Hospices
1771,Hospices
1772,Hospices
1773,Hospices
1774,Hospices
1775,Hospices
1776,Hospices
1777,Hospices
1778,Hospices
1779,Hospices
1780,Hospices
1781,Hospices
1782,Hospices
1783,Hospices
1784,Hospices
1785,Hospices
1786,Hospices
1787,Hospices
1788,Hospices
1789,Hospices
1790,Hospices
1791,Hospices
1792,Hospices
1793,Hospices
1794,Hospices
1795,Hospices
1796,Hospices
1797,Hospices
1798,Hospices
1799,Hospices
1800,Federally Qualified Health Centers
1801,Federally Qualified Health Centers
1802,Federally Qualified Health Centers
1803,Federally Qualified Health Centers
1804,Federally Qualified Health Centers
1805,Federally Qualified Health Centers
1806,Federally Qualified Health Centers
1807,Federally Qualified Health Centers
1808,Federally Qualified Health Centers
1809,Federally Qualified Health Centers
1810,Federally Qualified Health Centers
1811,Federally Qualified Health Centers
1812,Federally Qualified Health Centers
1813,Federally Qualified Health Centers
1814,Federally Qualified Health Centers
1815,Federally Qualified Health Centers
1816,Federally Qualified Health Centers
1817,Federally Qualified Health Centers
1818,Federally Qualified Health Centers
1819,Federally Qualified Health Centers
1820,Federally Qualified Health Centers
1821,Federally Qualified Health Centers
1822,Federally Qualified Health Centers
1823,Federally Qualified Health Centers
1824,Federally Qualified Health Centers
1825,Federally Qualified Health Centers
1826,Federally Qualified Health Centers
1827,Federally Qualified Health Centers
1828,Federally Qualified Health Centers
1829,Federally Qualified Health Centers
1830,Federally Qualified Health Centers
1831,Federally Qualified Health Centers
1832,Federally Qualified Health Centers
1833,Federally Qualified Health Centers
1834,Federally Qualified Health Centers
1835,Federally Qualified Health Centers
1836,Federally Qualified Health Centers
1837,Federally Qualified Health Centers
1838,Federally Qualified Health Centers
1839,Federally Qualified Health Centers
1840,Federally Qualified Health Centers
1841,Federally Qualified Health Centers
1842,Federally Qualified Health Centers
1843,Federally Qualified Health Centers
1844,Federally Qualified Health Centers
1845,Federally Qualified Health Centers
1846,Federally Qualified Health Centers
1847,Federally Qualified Health Centers
1848,Federally Qualified Health Centers
1849,Federally Qualified Health Centers
1850,Federally Qualified Health Centers
1851,Federally Qualified Health Centers
1852,Federally Qualified Health Centers
1853,Federally Qualified Health Centers
1854,Federally Qualified Health Centers
1855,Federally Qualified Health Centers
1856,Federally Qualified Health Centers
1857,Federally Qualified Health Centers
1858,Federally Qualified Health Centers
1859,Federally Qualified Health Centers
1860,Federally Qualified Health Centers
1861,Federally Qualified Health Centers
1862,Federally Qualified Health Centers
1863,Federally Qualified Health Centers
1864,Federally Qualified Health Centers
1865,Federally Qualified Health Centers
1866,Federally Qualified Health Centers
1867,Federally Qualified Health Centers
1868,Federally Qualified Health Centers
1869,Federally Qualified Health Centers
1870,Federally Qualified Health Centers
1871,Federally Qualified Health Centers
1872,Federally Qualified Health Centers
1873,Federally Qualified Health Centers
1874,Federally Qualified Health Centers
1875,Federally Qualified Health Centers
1876,Federally Qualified Health Centers
1877,Federally Qualified Health Centers
1878,Federally Qualified Health Centers
1879,Federally Qualified Health Centers
1880,Federally Qualified Health Centers
1881,Federally Qualified Health Centers
1882,Federally Qualified Health Centers
1883,Federally Qualified Health Centers
1884,Federally Qualified Health Centers
1885,Federally Qualified Health Centers
1886,Federally Qualified Health Centers
1887,Federally Qualified Health Centers
1888,Federally Qualified Health Centers
1889,Federally Qualified Health Centers
1890,Federally Qualified Health Centers
1891,Federally Qualified Health Centers
1892,Federally Qualified Health Centers
1893,Federally Qualified Health Centers
1894,Federally Qualified Health Centers
1895,Federally Qualified Health Centers
1896,Federally Qualified Health Centers
1897,Federally Qualified Health Centers
1898,Federally Qualified Health Centers
1899,Federally Qualified Health Centers
1900,Federally Qualified Health Centers
1901,Federally Qualified Health Centers
1902,Federally Qualified Health Centers
1903,Federally Qualified Health Centers
1904,Federally Qualified Health Centers
1905,Federally Qualified Health Centers
1906,Federally Qualified Health Centers
1907,Federally Qualified Health Centers
1908,Federally Qualified Health Centers
1909,Federally Qualified Health Centers
1910,Federally Qualified Health Centers
1911,Federally Qualified Health Centers
1912,Federally Qualified Health Centers
1913,Federally Qualified Health Centers
1914,Federally Qualified Health Centers
1915,Federally Qualified Health Centers
1916,Federally Qualified Health Centers
1917,Federally Qualified Health Centers
1918,Federally Qualified Health Centers
1919,Federally Qualified Health Centers
1920,Federally Qualified Health Centers
1921,Federally Qualified Health Centers
1922,Federally Qualified Health Centers
1923,Federally Qualified Health Centers
1924,Federally Qualified Health Centers
1925,Federally Qualified Health Centers
1926,Federally Qualified Health Centers
1927,Federally Qualified Health Centers
1928,Federally Qualified Health Centers
1929,Federally Qualified Health Centers
1930,Federally Qualified Health Centers
1931,Federally Qualified Health Centers
1932,Federally Qualified Health Centers
1933,Federally Qualified Health Centers
1934,Federally Qualified Health Centers
1935,Federally Qualified Health Centers
1936,Federally Qualified Health Centers
1937,Federally Qualified Health Centers
1938,Federally Qualified Health Centers
1939,Federally Qualified Health Centers
1940,Federally Qualified Health Centers
1941,Federally Qualified Health Centers
1942,Federally Qualified Health Centers
1943,Federally Qualified Health Centers
1944,Federally Qualified Health Centers
1945,Federally Qualified Health Centers
1946,Federally Qualified Health Centers
1947,Federally Qualified Health Centers
1948,Federally Qualified Health Centers
1949,Federally Qualified Health Centers
1950,Federally Qualified Health Centers
1951,Federally Qualified Health Centers
1952,Federally Qualified Health Centers
1953,Federally Qualified Health Centers
1954,Federally Qualified Health Centers
1955,Federally Qualified Health Centers
1956,Federally Qualified Health Centers
1957,Federally Qualified Health Centers
1958,Federally Qualified Health Centers
1959,Federally Qualified Health Centers
1960,Federally Qualified Health Centers
1961,Federally Qualified Health Centers
1962,Federally Qualified Health Centers
1963,Federally Qualified Health Centers
1964,Federally Qualified Health Centers
1965,Federally Qualified Health Centers
1966,Federally Qualified Health Centers
1967,Federally Qualified Health Centers
1968,Federally Qualified Health Centers
1969,Federally Qualified Health Centers
1970,Federally Qualified Health Centers
1971,Federally Qualified Health Centers
1972,Federally Qualified Health Centers
1973,Federally Qualified Health Centers
1974,Federally Qualified Health Centers
1975,Federally Qualified Health Centers
1976,Federally Qualified Health Centers
1977,Federally Qualified Health Centers
1978,Federally Qualified Health Centers
1979,Federally Qualified Health Centers
1980,Federally Qualified Health Centers
1981,Federally Qualified Health Centers
1982,Federally Qualified Health Centers
1983,Federally Qualified Health Centers
1984,Federally Qualified Health Centers
1985,Federally Qualified Health Centers
1986,Federally Qualified Health Centers
1987,Federally Qualified Health Centers
1988,Federally Qualified Health Centers
1989,Federally Qualified Health Centers
1990,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1991,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1992,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1993,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1994,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1995,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1996,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1997,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1998,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
1999,Religious Non-medical Health Care Institutions-formerly Christian Science Sanatoria
2000,Long-Term Hospitals (Excluded from PPS)
2001,Long-Term Hospitals (Excluded from PPS)
2002,Long-Term Hospitals (Excluded from PPS)
2003,Long-Term Hospitals (Excluded from PPS)
2004,Long-Term Hospitals (Excluded from PPS)
2005,Long-Term Hospitals (Excluded from PPS)
2006,Long-Term Hospitals (Excluded from PPS)
2007,Long-Term Hospitals (Excluded from PPS)
2008,Long-Term Hospitals (Excluded from PPS)
2009,Long-Term Hospitals (Excluded from PPS)
2010,Long-Term Hospitals (Excluded from PPS)
2011,Long-Term Hospitals (Excluded from PPS)
2012,Long-Term Hospitals (Excluded from PPS)
2013,Long-Term Hospitals (Excluded from PPS)
2014,Long-Term Hospitals (Excluded from PPS)
2015,Long-Term Hospitals (Excluded from PPS)
2016,Long-Term Hospitals (Excluded from PPS)
2017,Long-Term Hospitals (Excluded from PPS)
2018,Long-Term Hospitals (Excluded from PPS)
2019,Long-Term Hospitals (Excluded from PPS)
2020,Long-Term Hospitals (Excluded from PPS)
2021,Long-Term Hospitals (Excluded from PPS)
2022,Long-Term Hospitals (Excluded from PPS)
2023,Long-Term Hospitals (Excluded from PPS)
2024,Long-Term Hospitals (Excluded from PPS)
2025,Long-Term Hospitals (Excluded from PPS)
2026,Long-Term Hospitals (Excluded from PPS)
2027,Long-Term Hospitals (Excluded from PPS)
2028,Long-Term Hospitals (Excluded from PPS)
2029,Long-Term Hospitals (Excluded from PPS)
2030,Long-Term Hospitals (Excluded from PPS)
2031,Long-Term Hospitals (Excluded from PPS)
2032,Long-Term Hospitals (Excluded from PPS)
2033,Long-Term Hospitals (Excluded from PPS)
2034,Long-Term Hospitals (Excluded from PPS)
2035,Long-Term Hospitals (Excluded from PPS)
2036,Long-Term Hospitals (Excluded from PPS)
2037,Long-Term Hospitals (Excluded from PPS)
2038,Long-Term Hospitals (Excluded from PPS)
2039,Long-Term Hospitals (Excluded from PPS)
2040,Long-Term Hospitals (Excluded from PPS)
2041,Long-Term Hospitals (Excluded from PPS)
2042,Long-Term Hospitals (Excluded from PPS)
2043,Long-Term Hospitals (Excluded from PPS)
2044,Long-Term Hospitals (Excluded from PPS)
2045,Long-Term Hospitals (Excluded from PPS)
2046,Long-Term Hospitals (Excluded from PPS)
2047,Long-Term Hospitals (Excluded from PPS)
2048,Long-Term Hospitals (Excluded from PPS)
2049,Long-Term Hospitals (Excluded from PPS)
2050,Long-Term Hospitals (Excluded from PPS)
2051,Long-Term Hospitals (Excluded from PPS)
2052,Long-Term Hospitals (Excluded from PPS)
2053,Long-Term Hospitals (Excluded from PPS)
2054,Long-Term Hospitals (Excluded from PPS)
2055,Long-Term Hospitals (Excluded from PPS)
2056,Long-Term Hospitals (Excluded from PPS)
2057,Long-Term Hospitals (Excluded from PPS)
2058,Long-Term Hospitals (Excluded from PPS)
2059,Long-Term Hospitals (Excluded from PPS)
2060,Long-Term Hospitals (Excluded from PPS)
2061,Long-Term Hospitals (Excluded from PPS)
2062,Long-Term Hospitals (Excluded from PPS)
2063,Long-Term Hospitals (Excluded from PPS)
2064,Long-Term Hospitals (Excluded from PPS)
2065,Long-Term Hospitals (Excluded from PPS)
2066,Long-Term Hospitals (Excluded from PPS)
2067,Long-Term Hospitals (Excluded from PPS)
2068,Long-Term Hospitals (Excluded from PPS)
2069,Long-Term Hospitals (Excluded from PPS)
2070,Long-Term Hospitals (Excluded from PPS)
2071,Long-Term Hospitals (Excluded from PPS)
2072,Long-Term Hospitals (Excluded from PPS)
2073,Long-Term Hospitals (Excluded from PPS)
2074,Long-Term Hospitals (Excluded from PPS)
2075,Long-Term Hospitals (Excluded from PPS)
2076,Long-Term Hospitals (Excluded from PPS)
2077,Long-Term Hospitals (Excluded from PPS)
2078,Long-Term Hospitals (Excluded from PPS)
2079,Long-Term Hospitals (Excluded from PPS)
2080,Long-Term Hospitals (Excluded from PPS)
2081,Long-Term Hospitals (Excluded from PPS)
2082,Long-Term Hospitals (Excluded from PPS)
2083,Long-Term Hospitals (Excluded from PPS)
2084,Long-Term Hospitals (Excluded from PPS)
2085,Long-Term Hospitals (Excluded from PPS)
2086,Long-Term Hospitals (Excluded from PPS)
2087,Long-Term Hospitals (Excluded from PPS)
2088,Long-Term Hospitals (Excluded from PPS)
2089,Long-Term Hospitals (Excluded from PPS)
2090,Long-Term Hospitals (Excluded from PPS)
2091,Long-Term Hospitals (Excluded from PPS)
2092,Long-Term Hospitals (Excluded from PPS)
2093,Long-Term Hospitals (Excluded from PPS)
2094,Long-Term Hospitals (Excluded from PPS)
2095,Long-Term Hospitals (Excluded from PPS)
2096,Long-Term Hospitals (Excluded from PPS)
2097,Long-Term Hospitals (Excluded from PPS)
2098,Long-Term Hospitals (Excluded from PPS)
2099,Long-Term Hospitals (Excluded from PPS)
2100,Long-Term Hospitals (Excluded from PPS)
2101,Long-Term Hospitals (Excluded from PPS)
2102,Long-Term Hospitals (Excluded from PPS)
2103,Long-Term Hospitals (Excluded from PPS)
2104,Long-Term Hospitals (Excluded from PPS)
2105,Long-Term Hospitals (Excluded from PPS)
2106,Long-Term Hospitals (Excluded from PPS)
2107,Long-Term Hospitals (Excluded from PPS)
2108,Long-Term Hospitals (Excluded from PPS)
2109,Long-Term Hospitals (Excluded from PPS)
2110,Long-Term Hospitals (Excluded from PPS)
2111,Long-Term Hospitals (Excluded from PPS)
2112,Long-Term Hospitals (Excluded from PPS)
2113,Long-Term Hospitals (Excluded from PPS)
2114,Long-Term Hospitals (Excluded from PPS)
2115,Long-Term Hospitals (Excluded from PPS)
2116,Long-Term Hospitals (Excluded from PPS)
2117,Long-Term Hospitals (Excluded from PPS)
2118,Long-Term Hospitals (Excluded from PPS)
2119,Long-Term Hospitals (Excluded from PPS)
2120,Long-Term Hospitals (Excluded from PPS)
2121,Long-Term Hospitals (Excluded from PPS)
2122,Long-Term Hospitals (Excluded from PPS)
2123,Long-Term Hospitals (Excluded from PPS)
2124,Long-Term Hospitals (Excluded from PPS)
2125,Long-Term Hospitals (Excluded from PPS)
2126,Long-Term Hospitals (Excluded from PPS)
2127,Long-Term Hospitals (Excluded from PPS)
2128,Long-Term Hospitals (Excluded from PPS)
2129,Long-Term Hospitals (Excluded from PPS)
2130,Long-Term Hospitals (Excluded from PPS)
2131,Long-Term Hospitals (Excluded from PPS)
2132,Long-Term Hospitals (Excluded from PPS)
2133,Long-Term Hospitals (Excluded from PPS)
2134,Long-Term Hospitals (Excluded from PPS)
2135,Long-Term Hospitals (Excluded from PPS)
2136,Long-Term Hospitals (Excluded from PPS)
2137,Long-Term Hospitals (Excluded from PPS)
2138,Long-Term Hospitals (Excluded from PPS)
2139,Long-Term Hospitals (Excluded from PPS)
2140,Long-Term Hospitals (Excluded from PPS)
2141,Long-Term Hospitals (Excluded from PPS)
2142,Long-Term Hospitals (Excluded from PPS)
2143,Long-Term Hospitals (Excluded from PPS)
2144,Long-Term Hospitals (Excluded from PPS)
2145,Long-Term Hospitals (Excluded from PPS)
2146,Long-Term Hospitals (Excluded from PPS)
2147,Long-Term Hospitals (Excluded from PPS)
2148,Long-Term Hospitals (Excluded from PPS)
2149,Long-Term Hospitals (Excluded from PPS)
2150,Long-Term Hospitals (Excluded from PPS)
2151,Long-Term Hospitals (Excluded from PPS)
